source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,fan,"REALLY AWESOME FAN SOUND FOR SLEEP | White Noise For Superb Slumber, Studying & Relaxation",Relaxing White Noise,C5Gm8UvxKlU,https://www.youtube.com/watch?v=C5Gm8UvxKlU,"109,822,055 views",really awesome fan sound for sleep   white noise for superb slumber  studying   relaxation,0,0,0,0,0,0,0,0.9379
youtube,fan,5 Satisfying Amazing Hand Fan To PowerFull Electric Fans Collection,Technical A2z,UgD3Ure8pVM,https://www.youtube.com/watch?v=UgD3Ure8pVM,"1,585,492 views",5 satisfying amazing hand fan to powerfull electric fans collection,0,0,0,0,0,0,0,0.9062
youtube,fan,"8hrs Oscillating Fan ""Sleep Sounds"" ASMR",TexasHighDef,leBvfkhicAM,https://www.youtube.com/watch?v=leBvfkhicAM,"5,550,699 views",8hrs oscillating fan  sleep sounds  asmr,0,0,0,0,0,0,0,0.3182
youtube,fan,BEST FAN NOISE with BLACK SCREEN FOR SLEEPING (ten hours),The Get Right Band,Hgv0xfucj6I,https://www.youtube.com/watch?v=Hgv0xfucj6I,"27,115,539 views",best fan noise with black screen for sleeping  ten hours,0,0,0,0,0,0,0,0.7579
youtube,fan,"""BLDC Fan Working Principle | Brushless DC Motor""",Digital Smart Idea,a1nD84Z_rps,https://www.youtube.com/watch?v=a1nD84Z_rps,"366,041 views",bldc fan working principle   brushless dc motor,0,0,0,0,0,0,0,0.3182
youtube,fan,Jabra Fan Song | Shah Rukh Khan | Nakash Aziz | Vishal and Shekhar | Varun Grover | SRK Fan Song,YRF,d4_szl5EEww,https://www.youtube.com/watch?v=d4_szl5EEww,"274,371,739 views",jabra fan song   shah rukh khan   nakash aziz   vishal and shekhar   varun grover   srk fan song,0,0,0,0,0,0,0,0.5574
youtube,fan,Which Stirling fan won??,Nikola Toy,lCLCstIYJbE,https://www.youtube.com/watch?v=lCLCstIYJbE,"9,433,295 views",which stirling fan won,0,0,0,0,0,0,0,0.7184
youtube,fan,Havells Designer Ceiling Fan with Remote #youtubeshorts #shorts,Sweety Sharma ,43YDFdrt7WA,https://www.youtube.com/watch?v=43YDFdrt7WA,"6,584,941 views",havells designer ceiling fan with remote  youtubeshorts  shorts,0,0,1,0,0,0,0,0.3182
youtube,fan,orient ceiling fans and Wall fan,Ceiling fan king,cn9DfAUGN5Q,https://www.youtube.com/watch?v=cn9DfAUGN5Q,"2,032,708 views",orient ceiling fans and wall fan,0,0,0,0,1,0,0,0.3182
youtube,fan,【 Fan 】Colorful miniature ventilation fans#shorts,UNBOXING ROOM,bS5Mhff10VA,https://www.youtube.com/watch?v=bS5Mhff10VA,"873,951 views",fan  colorful miniature ventilation fans shorts,0,0,0,0,0,0,0,0.3182
youtube,fan,"India’s First BLDC Fan SuperFan | Energy Efficient, Durable & Proudly Indian 🇮🇳 – Buy SuperFan! #fyp",Electro Demolish,nXMqjajagEE,https://www.youtube.com/watch?v=nXMqjajagEE,"1,868,829 views",india s first bldc fan superfan   energy efficient  durable   proudly indian      buy superfan   fyp,0,0,0,0,0,0,0,0.8689
youtube,fan,Fan for @ATRFShowcase  and @NekosmO Studios (Buy me prism + oasis pro for all YouTubers,BSG 75 CHANNEL 2,MDIamLZriRU,https://www.youtube.com/watch?v=MDIamLZriRU,"3,857,738 views",fan for  atrfshowcase  and  nekosmo studios  buy me prism   oasis pro for all youtubers,0,0,0,0,0,0,0,0.3182
youtube,fan,Fan Collection #fan #kipasangin #shorts,Althaf Shidqiku Shorts,Ea-poxwmick,https://www.youtube.com/watch?v=Ea-poxwmick,"4,473,126 views",fan collection  fan  kipasangin  shorts,0,0,0,0,0,0,0,0.5574
youtube,fan,Mini lightweight fan 🌐 #minifan #minilight #fan #lughtroom #beautifulfans #shorts #fanlight,TokTak Gadget,ks9WRxl3CN8,https://www.youtube.com/watch?v=ks9WRxl3CN8,"1,497,815 views",mini lightweight fan    minifan  minilight  fan  lughtroom  beautifulfans  shorts  fanlight,0,0,0,0,0,0,0,0.5574
youtube,fan,Mini Quạt Trần Quay #ceilingfan #kipasangin #fans #trending #sahabat,Fan 1,i6zTR3WRfdc,https://www.youtube.com/watch?v=i6zTR3WRfdc,"566,576 views",mini quạt trần quay  ceilingfan  kipasangin  fans  trending  sahabat,0,0,0,0,0,0,0,0.0
youtube,fan,Your Noisy Extractor Fan Is Failing You – Fix It Now!,eFIXX,LUEKuJsHUaU,https://www.youtube.com/watch?v=LUEKuJsHUaU,"5,612,481 views",your noisy extractor fan is failing you   fix it now,0,0,0,0,0,0,0,-0.4019
youtube,fan,Home Depot ceiling fan compilation #funny #ceilingfan,Kids Whole Earth Shorts TV™ - Official YouTube,abFGDJWoUkU,https://www.youtube.com/watch?v=abFGDJWoUkU,"788,891 views",home depot ceiling fan compilation  funny  ceilingfan,0,0,0,0,0,0,0,0.6369
youtube,fan,Fan | Wallfan Collection ‼️#fan  #ventilateur #ventilador #kipasangin  #funny,Florian M Ibrahim,_iSyx8qO180,https://www.youtube.com/watch?v=_iSyx8qO180,"822,922 views",fan   wallfan collection    fan   ventilateur  ventilador  kipasangin   funny,0,0,0,0,0,0,0,0.7579
